GO_terms	Class	Description
GO:0010545	MF	obsolete Hsp90 protein regulator activity
GO:0010546	MF	obsolete Hsp90 protein inhibitor activity
GO:0010572	BP	positive regulation of platelet activation
GO:0010573	BP	vascular endothelial growth factor production
GO:0010574	BP	regulation of vascular endothelial growth factor production
GO:0010575	BP	positive regulation of vascular endothelial growth factor production
GO:0010594	BP	regulation of endothelial cell migration
GO:0010595	BP	positive regulation of endothelial cell migration
GO:0010596	BP	negative regulation of endothelial cell migration
GO:0010611	BP	regulation of cardiac muscle hypertrophy
GO:0010612	BP	regulation of cardiac muscle adaptation
GO:0010613	BP	positive regulation of cardiac muscle hypertrophy
GO:0010614	BP	negative regulation of cardiac muscle hypertrophy
GO:0010615	BP	positive regulation of cardiac muscle adaptation
GO:0010616	BP	negative regulation of cardiac muscle adaptation
GO:0010631	BP	epithelial cell migration
GO:0010632	BP	regulation of epithelial cell migration
GO:0010633	BP	negative regulation of epithelial cell migration
GO:0010634	BP	positive regulation of epithelial cell migration
GO:0010640	BP	regulation of platelet-derived growth factor receptor signaling pathway
GO:0010641	BP	positive regulation of platelet-derived growth factor receptor signaling pathway
GO:0010642	BP	negative regulation of platelet-derived growth factor receptor signaling pathway
GO:0010656	BP	negative regulation of muscle cell apoptotic process
GO:0010657	BP	muscle cell apoptotic process
GO:0010658	BP	striated muscle cell apoptotic process
GO:0010659	BP	cardiac muscle cell apoptotic process
GO:0010660	BP	regulation of muscle cell apoptotic process
GO:0010661	BP	positive regulation of muscle cell apoptotic process
GO:0010662	BP	regulation of striated muscle cell apoptotic process
GO:0010663	BP	positive regulation of striated muscle cell apoptotic process
GO:0010664	BP	negative regulation of striated muscle cell apoptotic process
GO:0010665	BP	regulation of cardiac muscle cell apoptotic process
GO:0010666	BP	positive regulation of cardiac muscle cell apoptotic process
GO:0010667	BP	negative regulation of cardiac muscle cell apoptotic process
GO:0010669	BP	epithelial structure maintenance
GO:0010670	BP	obsolete positive regulation of oxygen and reactive oxygen species metabolic process
GO:0010671	BP	obsolete negative regulation of oxygen and reactive oxygen species metabolic process
GO:0010672	BP	obsolete regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle
GO:0010673	BP	obsolete positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle
GO:0010675	BP	obsolete regulation of cellular carbohydrate metabolic process
GO:0010676	BP	obsolete positive regulation of cellular carbohydrate metabolic process
GO:0010702	BP	obsolete regulation of histolysis
GO:0010703	BP	obsolete negative regulation of histolysis
GO:0010708	BP	heteroduplex formation involved in gene conversion at mating-type locus
GO:0010717	BP	regulation of epithelial to mesenchymal transition
GO:0010718	BP	positive regulation of epithelial to mesenchymal transition
GO:0010719	BP	negative regulation of epithelial to mesenchymal transition
GO:0010723	BP	obsolete positive regulation of transcription from RNA polymerase II promoter in response to iron
GO:0010724	BP	regulation of definitive erythrocyte differentiation
GO:0010725	BP	regulation of primitive erythrocyte differentiation
GO:0010735	BP	obsolete positive regulation of transcription via serum response element binding
GO:0010767	BP	obsolete regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage
GO:0010769	BP	obsolete regulation of cell morphogenesis involved in differentiation
GO:0010807	BP	regulation of synaptic vesicle priming
GO:0010808	BP	positive regulation of synaptic vesicle priming
GO:0010809	BP	negative regulation of synaptic vesicle priming
GO:0010818	BP	T cell chemotaxis
GO:0010819	BP	regulation of T cell chemotaxis
GO:0010820	BP	positive regulation of T cell chemotaxis
GO:0010834	BP	obsolete telomere maintenance via telomere shortening
GO:0010842	BP	retina layer formation
GO:0010843	MF	obsolete promoter binding
GO:0010847	BP	obsolete regulation of chromatin assembly
GO:0010848	BP	obsolete regulation of chromatin disassembly
GO:0010850	BP	regulation of blood pressure by chemoreceptor signaling pathway
GO:0010860	MF	obsolete proteasome regulator activity
GO:0010861	MF	obsolete thyroid hormone receptor coactivator activity
GO:0010862	BP	obsolete positive regulation of pathway-restricted SMAD protein phosphorylation
GO:0010869	BP	obsolete regulation of receptor biosynthetic process
GO:0010870	BP	obsolete positive regulation of receptor biosynthetic process
GO:0010872	BP	obsolete regulation of cholesterol esterification
GO:0010873	BP	obsolete positive regulation of cholesterol esterification
GO:0010881	BP	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
GO:0010882	BP	regulation of cardiac muscle contraction by calcium ion signaling
GO:0010926	BP	obsolete anatomical structure formation
GO:0010939	BP	obsolete regulation of necrotic cell death
GO:0010940	BP	obsolete positive regulation of necrotic cell death
GO:0010941	BP	obsolete regulation of cell death
GO:0010942	BP	obsolete positive regulation of cell death
GO:0010949	BP	negative regulation of intestinal phytosterol absorption
GO:0010969	BP	regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0010975	BP	regulation of neuron projection development
GO:0010976	BP	positive regulation of neuron projection development
GO:0010977	BP	negative regulation of neuron projection development
GO:0010990	BP	obsolete regulation of SMAD protein complex assembly
GO:0011000	BP	replication fork arrest at mating type locus
GO:0014011	BP	Schwann cell proliferation involved in axon regeneration
GO:0014012	BP	peripheral nervous system axon regeneration
GO:0014020	BP	primary neural tube formation
GO:0014021	BP	secondary neural tube formation
GO:0014022	BP	neural plate elongation
GO:0014023	BP	neural rod formation
GO:0014024	BP	neural rod cavitation
GO:0014025	BP	neural keel formation
GO:0014027	BP	secondary neural tube formation
GO:0014029	BP	neural crest formation
GO:0014032	BP	neural crest cell development
GO:0014033	BP	neural crest cell differentiation
GO:0014034	BP	neural crest cell fate commitment
GO:0014035	BP	neural crest cell fate determination
GO:0014036	BP	neural crest cell fate specification
GO:0014041	BP	regulation of neuron maturation
GO:0014042	BP	positive regulation of neuron maturation
GO:0014043	BP	negative regulation of neuron maturation
GO:0014045	BP	establishment of endothelial blood-brain barrier
GO:0014065	BP	obsolete phosphatidylinositol 3-kinase signaling
GO:0014066	BP	obsolete regulation of phosphatidylinositol 3-kinase signaling
GO:0014068	BP	obsolete positive regulation of phosphatidylinositol 3-kinase signaling
GO:0014703	BP	oscillatory muscle contraction
GO:0014706	BP	striated muscle tissue development
GO:0014707	BP	branchiomeric skeletal muscle development
GO:0014708	BP	regulation of somitomeric trunk muscle development
GO:0014709	BP	positive regulation of somitomeric trunk muscle development
GO:0014710	BP	negative regulation of somitomeric trunk muscle development
GO:0014711	BP	regulation of branchiomeric skeletal muscle development
GO:0014712	BP	positive regulation of branchiomeric skeletal muscle development
GO:0014713	BP	negative regulation of branchiomeric skeletal muscle development
GO:0014716	BP	skeletal muscle satellite stem cell asymmetric division involved in skeletal muscle regeneration
GO:0014717	BP	regulation of satellite cell activation involved in skeletal muscle regeneration
GO:0014718	BP	positive regulation of satellite cell activation involved in skeletal muscle regeneration
GO:0014719	BP	skeletal muscle satellite cell activation
GO:0014720	BP	tonic skeletal muscle contraction
GO:0014721	BP	twitch skeletal muscle contraction
GO:0014722	BP	regulation of skeletal muscle contraction by calcium ion signaling
GO:0014723	BP	regulation of skeletal muscle contraction by modulation of calcium ion sensitivity of myofibril
GO:0014724	BP	regulation of twitch skeletal muscle contraction
GO:0014725	BP	regulation of extraocular skeletal muscle development
GO:0014726	BP	negative regulation of extraocular skeletal muscle development
GO:0014727	BP	positive regulation of extraocular skeletal muscle development
GO:0014728	BP	regulation of the force of skeletal muscle contraction
GO:0014729	BP	regulation of the velocity of shortening of skeletal muscle modulating contraction
GO:0014730	BP	skeletal muscle regeneration at neuromuscular junction
GO:0014732	BP	skeletal muscle atrophy
GO:0014733	BP	regulation of skeletal muscle adaptation
GO:0014734	BP	skeletal muscle hypertrophy
GO:0014735	BP	regulation of muscle atrophy
GO:0014736	BP	negative regulation of muscle atrophy
GO:0014737	BP	positive regulation of muscle atrophy
GO:0014738	BP	regulation of muscle hyperplasia
GO:0014739	BP	positive regulation of muscle hyperplasia
GO:0014740	BP	negative regulation of muscle hyperplasia
GO:0014741	BP	negative regulation of muscle hypertrophy
GO:0014742	BP	positive regulation of muscle hypertrophy
GO:0014743	BP	regulation of muscle hypertrophy
GO:0014744	BP	positive regulation of muscle adaptation
GO:0014745	BP	negative regulation of muscle adaptation
GO:0014746	BP	regulation of tonic skeletal muscle contraction
GO:0014747	BP	positive regulation of tonic skeletal muscle contraction
GO:0014748	BP	negative regulation of tonic skeletal muscle contraction
GO:0014805	BP	smooth muscle adaptation
GO:0014806	BP	smooth muscle hyperplasia
GO:0014809	BP	regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion
GO:0014810	BP	positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion
GO:0014811	BP	negative regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion
GO:0014812	BP	muscle cell migration
GO:0014813	BP	skeletal muscle satellite cell commitment
GO:0014814	BP	axon regeneration at neuromuscular junction
GO:0014815	BP	initiation of skeletal muscle satellite cell activation by growth factor signaling, involved in skeletal muscle regeneration
GO:0014816	BP	skeletal muscle satellite cell differentiation
GO:0014817	BP	skeletal muscle satellite cell fate specification
GO:0014818	BP	skeletal muscle satellite cell fate determination
GO:0014819	BP	regulation of skeletal muscle contraction
GO:0014820	BP	tonic smooth muscle contraction
GO:0014821	BP	phasic smooth muscle contraction
GO:0014824	BP	artery smooth muscle contraction
GO:0014825	BP	stomach fundus smooth muscle contraction
GO:0014826	BP	vein smooth muscle contraction
GO:0014827	BP	intestine smooth muscle contraction
GO:0014828	BP	distal stomach smooth muscle contraction
GO:0014829	BP	vascular associated smooth muscle contraction
GO:0014830	BP	arteriole smooth muscle contraction
GO:0014831	BP	gastro-intestinal system smooth muscle contraction
GO:0014832	BP	urinary bladder smooth muscle contraction
GO:0014833	BP	skeletal muscle satellite stem cell asymmetric division
GO:0014834	BP	skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration
GO:0014835	BP	myoblast differentiation involved in skeletal muscle regeneration
GO:0014836	BP	myoblast fate commitment involved in skeletal muscle regeneration
GO:0014837	BP	myoblast fate determination involved in skeletal muscle regeneration
GO:0014838	BP	myoblast fate specification involved in skeletal muscle regeneration
GO:0014839	BP	myoblast migration involved in skeletal muscle regeneration
GO:0014841	BP	skeletal muscle satellite cell proliferation
GO:0014842	BP	regulation of skeletal muscle satellite cell proliferation
GO:0014843	BP	growth factor dependent regulation of skeletal muscle satellite cell proliferation
GO:0014844	BP	myoblast proliferation involved in skeletal muscle regeneration
GO:0014845	BP	stomach body smooth muscle contraction
GO:0014846	BP	esophagus smooth muscle contraction
GO:0014847	BP	proximal stomach smooth muscle contraction
GO:0014848	BP	urinary tract smooth muscle contraction
GO:0014849	BP	ureter smooth muscle contraction
GO:0014850	BP	response to muscle activity
GO:0014852	BP	regulation of skeletal muscle contraction by neural stimulation via neuromuscular junction
GO:0014853	BP	regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction
GO:0014855	BP	striated muscle cell proliferation
GO:0014856	BP	skeletal muscle cell proliferation
GO:0014857	BP	regulation of skeletal muscle cell proliferation
GO:0014858	BP	positive regulation of skeletal muscle cell proliferation
GO:0014859	BP	negative regulation of skeletal muscle cell proliferation
GO:0014860	BP	neurotransmitter secretion involved in regulation of skeletal muscle contraction
GO:0014861	BP	regulation of skeletal muscle contraction via regulation of action potential
GO:0014862	BP	regulation of skeletal muscle contraction by chemo-mechanical energy conversion
GO:0014864	BP	detection of muscle activity
GO:0014868	BP	cross bridge cycling involved in regulation of the velocity of shortening in skeletal muscle contraction
GO:0014869	BP	detection of muscle inactivity
GO:0014870	BP	response to muscle inactivity
GO:0014871	BP	cross bridge formation involved in regulation of the velocity of shortening in skeletal muscle contraction
GO:0014873	BP	response to muscle activity involved in regulation of muscle adaptation
GO:0014874	BP	response to stimulus involved in regulation of muscle adaptation
GO:0014875	BP	detection of muscle activity involved in regulation of muscle adaptation
GO:0014876	BP	response to injury involved in regulation of muscle adaptation
GO:0014877	BP	response to muscle inactivity involved in regulation of muscle adaptation
GO:0014878	BP	response to electrical stimulus involved in regulation of muscle adaptation
GO:0014879	BP	detection of electrical stimulus involved in regulation of muscle adaptation
GO:0014880	BP	regulation of muscle filament sliding involved in regulation of the velocity of shortening in skeletal muscle contraction
GO:0014884	BP	detection of muscle inactivity involved in regulation of muscle adaptation
GO:0014885	BP	detection of injury involved in regulation of muscle adaptation
GO:0014887	BP	cardiac muscle adaptation
GO:0014888	BP	striated muscle adaptation
GO:0014889	BP	muscle atrophy
GO:0014890	BP	smooth muscle atrophy
GO:0014891	BP	striated muscle atrophy
GO:0014893	BP	response to rest involved in regulation of muscle adaptation
GO:0014894	BP	response to denervation involved in regulation of muscle adaptation
GO:0014895	BP	smooth muscle hypertrophy
GO:0014896	BP	muscle hypertrophy
GO:0014897	BP	striated muscle hypertrophy
GO:0014898	BP	cardiac muscle hypertrophy in response to stress
GO:0014899	BP	cardiac muscle atrophy
GO:0014900	BP	muscle hyperplasia
GO:0014901	BP	satellite cell activation involved in skeletal muscle regeneration
GO:0014905	BP	myoblast fusion involved in skeletal muscle regeneration
GO:0014906	BP	myotube cell development involved in skeletal muscle regeneration
GO:0014908	BP	myotube differentiation involved in skeletal muscle regeneration
GO:0014909	BP	smooth muscle cell migration
GO:0014910	BP	regulation of smooth muscle cell migration
GO:0014911	BP	positive regulation of smooth muscle cell migration
GO:0014912	BP	negative regulation of smooth muscle cell migration
GO:0014914	BP	myoblast maturation involved in muscle regeneration
GO:0014915	BP	regulation of muscle filament sliding speed involved in regulation of the velocity of shortening in skeletal muscle contraction
GO:0014916	BP	regulation of lung blood pressure
GO:0014917	BP	obsolete positive regulation of diuresis by pressure natriuresis
GO:0014918	BP	obsolete positive regulation of natriuresis by pressure natriuresis
GO:0015000	MF	obsolete polyferredoxin
GO:0015001	MF	obsolete high-potential iron-sulfur carrier
GO:0015003	MF	obsolete copper electron carrier
GO:0015004	MF	obsolete small blue copper electron carrier
GO:0015005	MF	obsolete azurin
GO:0015006	MF	obsolete plastocyanin
GO:0015007	MF	obsolete electron carrier, chlorophyll electron transport system 
GO:0015017	MF	obsolete glypican
GO:0015023	MF	obsolete syndecan
GO:0015025	MF	obsolete GPI-anchored membrane-bound receptor
GO:0015029	MF	obsolete internalization receptor activity
GO:0015032	BP	obsolete storage protein import into fat body
GO:0015034	MF	obsolete cytochrome P450 activity
GO:0015040	MF	obsolete electron transfer flavoprotein, group I 
GO:0015041	MF	obsolete electron transfer flavoprotein, group II 
GO:0015051	MF	obsolete X-opioid receptor activity
GO:0015053	MF	obsolete opsin
GO:0015058	MF	obsolete epidermal growth factor-like module containing hormone receptor activity
GO:0015059	MF	obsolete blue-sensitive opsin
GO:0015060	MF	obsolete green-sensitive opsin
GO:0015061	MF	obsolete red-sensitive opsin
GO:0015062	MF	obsolete violet-sensitive opsin
GO:0015063	MF	obsolete long-wave-sensitive opsin
GO:0015064	MF	obsolete UV-sensitive opsin
GO:0015070	MF	obsolete toxin activity
GO:0015072	MF	obsolete phosphatidylinositol 3-kinase, class I, catalyst activity 
GO:0015073	MF	obsolete phosphatidylinositol 3-kinase, class I, regulator activity 
GO:0015076	MF	obsolete heavy metal ion transporter activity
GO:0015096	MF	obsolete manganese resistance permease activity
GO:0015125	MF	bile acid transmembrane transporter activity
GO:0015126	MF	canalicular bile acid transmembrane transporter activity
GO:0015176	MF	obsolete holin
GO:0015219	MF	obsolete protein-DNA complex transmembrane transporter activity
GO:0015223	MF	obsolete vitamin or cofactor transporter activity
GO:0015242	MF	obsolete benomyl transmembrane transporter activity
GO:0015253	MF	obsolete sugar/polyol channel activity
GO:0015256	MF	obsolete monocarboxylate channel activity
GO:0015257	MF	obsolete organic anion channel activity
GO:0015258	MF	obsolete gluconate channel activity
GO:0015259	MF	obsolete glutamate channel activity
GO:0015260	MF	obsolete isethionate channel activity
GO:0015261	MF	obsolete lactate channel activity
GO:0015262	MF	obsolete taurine channel activity
GO:0015263	MF	obsolete amine/amide/polyamine channel activity
GO:0015282	MF	obsolete NADPH oxidase-associated cytochrome b558 hydrogen channel activity
GO:0015283	MF	obsolete apoptogenic cytochrome c release channel activity
GO:0015289	MF	obsolete pore-forming toxin activity
GO:0015298	MF	obsolete solute:monoatomic cation antiporter activity
GO:0015299	MF	obsolete solute:proton antiporter activity
GO:0015303	MF	obsolete galactose, glucose uniporter activity 
GO:0015305	MF	obsolete lactose, galactose:proton symporter activity 
GO:0015307	MF	obsolete drug:proton antiporter activity
GO:0015316	MF	obsolete nitrite/nitrate porter activity
GO:0015323	MF	obsolete type V protein secretor activity
GO:0015331	MF	obsolete asparagine/glutamine permease activity
GO:0015332	MF	obsolete leucine/valine/isoleucine permease activity
GO:0015335	MF	obsolete heavy metal ion:hydrogen symporter activity
GO:0015336	MF	obsolete high affinity metal ion uptake transporter activity
GO:0015337	MF	obsolete low affinity metal ion uptake transporter activity
GO:0015339	MF	obsolete cobalt, zinc uptake permease activity 
GO:0015340	MF	obsolete zinc, cadmium uptake permease activity 
GO:0015342	MF	obsolete zinc, iron permease activity 
GO:0015348	MF	obsolete prostaglandin/thromboxane transporter activity
GO:0015349	MF	thyroid hormone transmembrane transporter activity
GO:0015352	MF	obsolete secondary active sterol transmembrane transporter activity
GO:0015356	MF	obsolete monocarboxylate (lactate, pyruvate, mevalonate) uptake/efflux porter activity 
GO:0015358	MF	obsolete amino acid/choline transmembrane transporter activity
GO:0015363	MF	obsolete dicarboxylate (succinate/fumarate/malate) antiporter activity
GO:0015372	MF	obsolete glutamate/aspartate:sodium symporter activity
GO:0015376	MF	obsolete betaine/GABA:sodium symporter activity
GO:0015384	MF	obsolete anion:anion antiporter activity
GO:0015393	MF	obsolete uracil/uridine permease activity
GO:0015406	MF	obsolete ABC-type uptake permease activity
GO:0015427	MF	obsolete ABC-type efflux porter activity
GO:0015428	MF	obsolete type I protein secretor activity
GO:0015429	MF	obsolete peroxisomal fatty acyl transporter
GO:0015432	MF	ABC-type bile acid transporter activity
GO:0015435	MF	obsolete ABC-type efflux permease activity
GO:0015442	MF	obsolete hydrogen-/sodium-translocating ATPase activity
GO:0015443	MF	obsolete sodium-transporting two-sector ATPase activity
GO:0015447	MF	obsolete type II protein secretor activity
GO:0015448	MF	obsolete type III protein (virulence-related) secretor activity
GO:0015449	MF	obsolete type IV protein (DNA-protein) secretor activity
GO:0015461	MF	obsolete endosomal oligosaccharide transporter
GO:0015465	MF	obsolete lysin activity
GO:0015466	MF	obsolete autolysin activity
GO:0015468	MF	obsolete colicin
GO:0015469	MF	obsolete channel-forming toxin activity
GO:0015470	MF	obsolete bacteriocin activity
GO:0015472	MF	obsolete fimbrium-specific chaperone activity
GO:0015477	MF	obsolete receptor porin activity
GO:0015479	MF	obsolete outer membrane exporter porin
GO:0015480	MF	obsolete secretin (sensu Bacteria)
GO:0015482	MF	obsolete voltage-gated anion channel porin activity
GO:0015484	MF	obsolete hemolysin activity
GO:0015500	MF	obsolete threonine/serine:sodium symporter activity
GO:0015507	MF	obsolete hydroxy/aromatic amino acid permease activity
GO:0015521	MF	obsolete bicyclomycin/sulfathiazole:hydrogen antiporter activity
GO:0015522	MF	obsolete hydrophobic uncoupler:proton antiporter activity
GO:0015524	MF	obsolete L-arabinose/beta-D-thiogalactopyranoside:hydrogen antiporter activity
GO:0015525	MF	obsolete carbonyl cyanide m-chlorophenylhydrazone/nalidixic acid/organomercurials:hydrogen antiporter activity
GO:0015534	MF	obsolete proline/glycine/betaine:hydrogen/sodium symporter activity
GO:0015543	MF	obsolete lactose/glucose efflux transporter activity
GO:0015555	MF	obsolete acriflavine transmembrane transporter activity
GO:0015560	MF	obsolete L-idonate/D-gluconate:hydrogen symporter activity
GO:0015583	MF	obsolete beta-glucoside [arbutin-salicin-cellobiose] permease activity
GO:0015596	MF	obsolete glycine betaine/proline porter activity
GO:0015597	MF	obsolete histidine/arginine/lysine/ornithine porter activity
GO:0015600	MF	obsolete glutamate/aspartate porter activity
GO:0015601	MF	obsolete cystine/diaminopimelate porter activity
GO:0015602	MF	obsolete leucine/isoleucine/valine porter activity
GO:0015613	MF	obsolete galactose/glucose (methylgalactoside) porter activity
GO:0015617	MF	obsolete pilin/fimbrilin exporter activity
GO:0015634	MF	obsolete lipopolysaccharide exporter activity
GO:0015641	MF	obsolete lipoprotein toxin
GO:0015642	MF	obsolete bacteriolytic toxin activity
GO:0015644	MF	obsolete lipoprotein antitoxin
GO:0015721	BP	bile acid and bile salt transport
GO:0015722	BP	canalicular bile acid transport
GO:0015832	BP	obsolete holin
GO:0015842	BP	aminergic neurotransmitter loading into synaptic vesicle
GO:0015875	BP	obsolete vitamin or cofactor transport
GO:0015907	MF	obsolete apolipoprotein
GO:0015933	MF	obsolete flavin-containing electron transporter
GO:0015981	BP	obsolete passive proton transport, down the electrochemical gradient 
GO:0015982	BP	obsolete antiport
GO:0015983	BP	obsolete symport
GO:0015984	BP	obsolete uniport
GO:0015993	BP	obsolete molecular hydrogen transport
GO:0015997	MF	obsolete ubiquinone biosynthetic process monooxygenase activity
GO:0016016	MF	obsolete short-wave-sensitive opsin
GO:0016017	MF	obsolete random coil DNA binding
GO:0016025	MF	obsolete proteasome endopeptidase regulator
GO:0016026	MF	obsolete proteasome endopeptidase core
GO:0016032	BP	viral process
GO:0016046	BP	detection of fungus
GO:0016047	BP	detection of fungus
GO:0016064	BP	immunoglobulin mediated immune response
GO:0016065	BP	obsolete humoral defense mechanism (sensu Protostomia)
GO:0016079	BP	synaptic vesicle exocytosis
GO:0016080	BP	synaptic vesicle targeting
GO:0016081	BP	synaptic vesicle docking
GO:0016082	BP	synaptic vesicle priming
GO:0016083	BP	obsolete synaptic vesicle fusion
GO:0016086	MF	obsolete allatostatin
GO:0016088	MF	obsolete insulin
GO:0016146	MF	obsolete protein-synthesizing GTPase activity, initiation 
GO:0016147	MF	obsolete protein-synthesizing GTPase activity, elongation 
GO:0016148	MF	obsolete protein-synthesizing GTPase activity, termination 
GO:0016164	MF	obsolete Mo-molybdopterin oxidoreductase activity
GO:0016171	MF	obsolete cell surface antigen
GO:0016172	MF	obsolete antifreeze activity
GO:0016173	MF	obsolete ice nucleation inhibitor activity
GO:0016181	BP	synaptic vesicle transport
GO:0016182	BP	synaptic vesicle budding from endosome
GO:0016183	BP	synaptic vesicle coating
GO:0016184	BP	obsolete synaptic vesicle retrieval
GO:0016185	BP	synaptic vesicle budding from presynaptic endocytic zone membrane
GO:0016186	BP	obsolete synaptic vesicle fission
GO:0016187	BP	obsolete synaptic vesicle internalization
GO:0016188	BP	synaptic vesicle maturation
GO:0016189	BP	synaptic vesicle to endosome fusion
GO:0016191	BP	synaptic vesicle uncoating
GO:0016198	BP	axon choice point recognition
GO:0016199	BP	axon midline choice point recognition
GO:0016200	BP	synaptic target attraction
GO:0016201	BP	synaptic target inhibition
GO:0016202	BP	regulation of striated muscle tissue development
GO:0016203	BP	muscle attachment
GO:0016204	BP	determination of muscle attachment site
GO:0016218	MF	obsolete polyketide synthase activity
GO:0016227	MF	obsolete tRNA sulfurtransferase activity
GO:0016245	BP	obsolete phosphorylation of RNA polymerase II C-terminal domain
GO:0016252	MF	obsolete nonspecific RNA polymerase II transcription factor activity
GO:0016265	BP	obsolete death
GO:0016271	BP	obsolete tissue death
GO:0016280	BP	obsolete aging
GO:0016284	MF	obsolete alanine aminopeptidase activity
GO:0016285	MF	obsolete cytosol alanyl aminopeptidase activity
GO:0016299	MF	obsolete regulator of G-protein signaling activity
GO:0016304	MF	obsolete phosphatidylinositol 3-kinase activity, class I 
GO:0016305	MF	obsolete phosphatidylinositol 3-kinase activity, class II 
GO:0016306	MF	obsolete phosphatidylinositol 3-kinase activity, class III 
GO:0016307	MF	obsolete phosphatidylinositol phosphate kinase activity
GO:0016313	MF	obsolete inositol-1,4,5-trisphosphate phosphatase 
GO:0016322	BP	neuron remodeling
GO:0016325	BP	oocyte microtubule cytoskeleton organization
GO:0016326	MF	obsolete kinesin motor activity
GO:0016329	MF	obsolete apoptosis regulator activity
GO:0016331	BP	morphogenesis of embryonic epithelium
GO:0016332	BP	establishment or maintenance of polarity of embryonic epithelium
GO:0016333	BP	morphogenesis of follicular epithelium
GO:0016334	BP	establishment or maintenance of polarity of follicular epithelium
GO:0016335	BP	morphogenesis of larval imaginal disc epithelium
GO:0016336	BP	establishment or maintenance of polarity of larval imaginal disc epithelium
GO:0016341	CC	obsolete other collagen
GO:0016343	MF	obsolete cytoskeletal anchoring activity
GO:0016347	MF	obsolete calcium-independent cell adhesion molecule activity
GO:0016350	BP	germarium-derived oocyte fate determination
GO:0016351	BP	obsolete drug susceptibility/resistance
GO:0016352	BP	obsolete insecticide susceptibility/resistance
GO:0016353	BP	obsolete carbamate susceptibility/resistance
GO:0016354	BP	obsolete cyclodiene susceptibility/resistance
GO:0016355	BP	obsolete DDT susceptibility/resistance
GO:0016356	BP	obsolete organophosphorus susceptibility/resistance
GO:0016357	BP	obsolete pyrethroid susceptibility/resistance
GO:0016429	MF	obsolete tRNA (adenine-N1)-methyltransferase activity
GO:0016446	BP	somatic hypermutation of immunoglobulin genes
GO:0016447	BP	somatic recombination of immunoglobulin gene segments
GO:0016466	MF	obsolete hydrogen-translocating A-type ATPase activity
GO:0016467	MF	obsolete hydrogen-translocating F-type ATPase activity
GO:0016468	MF	obsolete sodium-translocating F-type ATPase activity
GO:0016484	MF	obsolete proprotein convertase 2 activator activity
GO:0016489	MF	immunoglobulin receptor activity
GO:0016506	MF	obsolete apoptosis activator activity
GO:0016511	MF	obsolete endothelin-converting enzyme activity
GO:0016512	MF	obsolete endothelin-converting enzyme 1 activity
GO:0016519	MF	gastric inhibitory peptide receptor activity
GO:0016523	MF	obsolete epidermal growth factor-like module containing hormone receptor activity
GO:0016527	MF	obsolete brain-specific angiogenesis inhibitor activity
GO:0016536	MF	obsolete cyclin-dependent protein kinase 5 activator regulator activity
GO:0016541	MF	obsolete intein
GO:0016550	BP	obsolete insertion or deletion editing
GO:0016551	BP	obsolete posttranscriptional insertion or deletion editing
GO:0016552	BP	obsolete cotranscriptional insertion or deletion editing
GO:0016563	MF	obsolete transcription activator activity
GO:0016564	MF	obsolete transcription repressor activity
GO:0016565	MF	obsolete general transcriptional repressor activity
GO:0016566	MF	obsolete specific transcriptional repressor activity
GO:0016582	BP	obsolete non-covalent chromatin modification
GO:0016583	BP	obsolete nucleosome modeling
GO:0016585	CC	obsolete chromatin remodeling complex
GO:0016626	MF	obsolete oxidoreductase activity, acting on the aldehyde or oxo group of donors, other acceptors 
GO:0016637	MF	obsolete oxidoreductase activity, acting on the CH-CH group of donors, other acceptors 
GO:0016644	MF	obsolete oxidoreductase activity, acting on the CH-NH2 group of donors, other acceptors 
GO:0016650	MF	obsolete oxidoreductase activity, acting on the CH-NH group of donors, other acceptors 
GO:0016657	MF	obsolete oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor 
GO:0016658	MF	obsolete oxidoreductase activity, acting on NADH or NADPH, flavin as acceptor 
GO:0016659	MF	obsolete oxidoreductase activity, acting on NADH or NADPH, other acceptor 
GO:0016665	MF	obsolete oxidoreductase activity, acting on other nitrogenous compounds as donors, other acceptors 
GO:0016674	MF	obsolete oxidoreductase activity, acting on sulfur group of donors, other acceptors 
GO:0016676	MF	obsolete oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor 
GO:0016678	MF	obsolete oxidoreductase activity, acting on heme group of donors, other acceptors 
GO:0016681	MF	obsolete oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor 
GO:0016683	MF	obsolete oxidoreductase activity, acting on diphenols and related substances as donors, other acceptors 
GO:0016694	MF	obsolete bacterial catalase-peroxidase activity
GO:0016700	MF	obsolete oxidoreductase activity, acting on hydrogen as donor, other acceptors 
GO:0016704	MF	obsolete oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, miscellaneous 
