GO_terms	Class	Description
GO:0000766	BP	negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation
GO:0000767	BP	cell morphogenesis involved in conjugation
GO:0000771	BP	agglutination involved in conjugation
GO:0000772	MF	mating pheromone activity
GO:0000826	MF	obsolete inositol pyrophosphate synthase activity
GO:0000903	BP	obsolete regulation of cell shape during vegetative growth phase
GO:0000905	BP	sporocarp development involved in asexual reproduction
GO:0000909	BP	sporocarp development involved in sexual reproduction
GO:0000924	CC	gamma-tubulin ring complex, centrosomal
GO:0000927	CC	gamma-tubulin small complex, centrosomal
GO:0000984	MF	bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding
GO:0000985	MF	bacterial-type RNA polymerase core promoter sequence-specific DNA binding
GO:0000986	MF	bacterial-type cis-regulatory region sequence-specific DNA binding
GO:0000988	MF	obsolete transcription factor activity, protein binding 
GO:0000989	MF	obsolete transcription factor activity, transcription factor binding 
GO:0000990	MF	obsolete transcription factor activity, core RNA polymerase binding 
GO:0000991	MF	obsolete transcription factor activity, core RNA polymerase II binding 
GO:0001000	MF	bacterial-type RNA polymerase core enzyme binding
GO:0001004	MF	obsolete RNA polymerase III transcription regulator recruiting activity
GO:0001007	MF	obsolete transcription factor activity, RNA polymerase III transcription factor binding 
GO:0001011	MF	obsolete transcription factor activity, sequence-specific DNA binding, RNA polymerase recruiting 
GO:0001026	MF	obsolete TFIIIB-type transcription factor activity
GO:0001027	MF	obsolete RNA polymerase III type 1 promoter TFIIIB-type transcription factor activity
GO:0001028	MF	obsolete RNA polymerase III type 2 promoter TFIIIB-type transcription factor activity
GO:0001029	MF	obsolete RNA polymerase III type 3 promoter TFIIIB-type transcription factor activity
GO:0001040	MF	obsolete RNA polymerase III hybrid type promoter TFIIIB-type transcription factor activity
GO:0001061	MF	bacterial-type RNA polymerase activity
GO:0001062	MF	obsolete plastid PEP-A RNA polymerase activity
GO:0001063	MF	obsolete plastid PEP-B RNA polymerase activity
GO:0001074	MF	obsolete transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding involved in preinitiation complex assembly 
GO:0001076	MF	obsolete transcription factor activity, RNA polymerase II transcription factor binding 
GO:0001082	MF	obsolete transcription factor activity, RNA polymerase I transcription factor binding 
GO:0001083	MF	obsolete transcription factor activity, RNA polymerase II basal transcription factor binding 
GO:0001084	MF	obsolete transcription factor activity, TFIID-class binding 
GO:0001086	MF	obsolete transcription factor activity, TFIIA-class binding 
GO:0001087	MF	obsolete transcription factor activity, TFIIB-class binding 
GO:0001088	MF	obsolete transcription factor activity, TFIIE-class binding 
GO:0001089	MF	obsolete transcription factor activity, TFIIF-class transcription factor binding 
GO:0001090	MF	obsolete transcription factor activity, TFIIH-class binding 
GO:0001108	MF	bacterial-type RNA polymerase holo enzyme binding
GO:0001121	BP	bacterial transcription
GO:0001126	BP	bacterial-type RNA polymerase preinitiation complex assembly
GO:0001128	MF	obsolete RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
GO:0001129	MF	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly 
GO:0001132	MF	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding 
GO:0001134	MF	obsolete transcription regulator recruiting activity
GO:0001135	MF	obsolete RNA polymerase II transcription regulator recruiting activity
GO:0001138	MF	obsolete RNA polymerase II transcription regulator recruiting activity
GO:0001148	MF	bacterial-type RNA polymerase termination site sequence-specific DNA binding
GO:0001149	MF	obsolete transcription factor activity, bacterial-type RNA polymerase termination site sequence-specific binding 
GO:0001152	MF	obsolete transcription factor activity, RNA polymerase III type 1 promoter sequence-specific binding, TFIIIC recruiting 
GO:0001153	MF	obsolete transcription factor activity, RNA polymerase III transcription factor recruiting 
GO:0001157	MF	obsolete RNA polymerase III transcription regulator recruiting activity
GO:0001167	MF	obsolete RNA polymerase I transcription factor activity, sequence-specific DNA binding 
GO:0001168	MF	obsolete transcription factor activity, RNA polymerase I upstream control element sequence-specific binding 
GO:0001169	MF	obsolete transcription factor activity, RNA polymerase I CORE element sequence-specific binding 
GO:0001170	MF	obsolete transcription factor activity, RNA polymerase I enhancer sequence-specific binding 
GO:0001186	MF	obsolete RNA polymerase I transcription regulator recruiting activity
GO:0001190	MF	obsolete transcriptional activator activity, RNA polymerase II transcription factor binding 
GO:0001191	MF	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding 
GO:0001194	BP	maintenance of transcriptional fidelity during DNA-templated transcription elongation from bacterial-type RNA polymerase promoter
GO:0001196	BP	obsolete regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001197	BP	obsolete positive regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001198	BP	negative regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001301	BP	obsolete progressive alteration of chromatin involved in cell aging
GO:0001302	BP	obsolete replicative cell aging
GO:0001304	BP	obsolete progressive alteration of chromatin involved in replicative cell aging
GO:0001305	BP	obsolete progressive alteration of chromatin involved in chronological cell aging
GO:0001309	BP	obsolete age-dependent telomere shortening
GO:0001312	BP	obsolete replication of extrachromosomal rDNA circles involved in replicative cell aging
GO:0001314	BP	obsolete replication of extrachromosomal circular DNA involved in replicative cell aging
